,NOMBRE_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
5030,"ESCUELA RURAL ""AGUA FRESCA""",6.191666666666666,2002
721,COL  SAN IGNACIO,6.191254752851711,2002
805,"COLEGIO ""CARPE DIEM""",6.191101694915254,2002
6553,KING EDWARD'S SCHOOL,6.190833333333333,2002
7865,PADRE SEBASTIAN ENGLERT,6.188888888888889,2002
3799,ESCUELA BASICA SAN JOSE DE CHICUREO,6.188750000000001,2002
8311,SAINT JOHN'S VILLA ACADEMY,6.18853591160221,2002
2086,EMELINA URRUTIA,6.188322368421052,2002
794,COLEGIO  MANQUECURA PUENTE ALTO,6.188235294117647,2002
171,ANIBAL ESQUIVEL TAPIA,6.186965811965812,2002
2338,ESC. BAS. TALABRE,6.1866666666666665,2002
6395,INSTITUTO SAN FERNANDO,6.185759829968119,2002
3552,ESCUELA BASICA G-425,6.185714285714286,2002
3543,ESCUELA BASICA G-25,6.185294117647059,2002
7877,PALLAHUALA,6.183333333333334,2002
1168,COLEGIO GERONIMO RENDIC,6.1828319882611895,2002
4633,"ESCUELA PARTICULAR ""SAGRADO CORAZON""",6.18235294117647,2002
4114,ESCUELA ESPECIAL N.107 LARUN RAYUN,6.1819819819819815,2002
8636,SOUTHER OXFORD SCHOOL,6.18139534883721,2002
1299,COLEGIO LOS ANDES DE VITACURA,6.181057810578106,2002
2106,ESC  BAS  ANEXO PICHILEMU,6.180952380952381,2002
8702,THE MAYFLOWER SCHOOL,6.180600461893764,2002
1921,DIVINA MISTRAL,6.180487804878049,2002
1514,COLEGIO PRINCIPE DE ASTURIAS,6.180327868852459,2002
7984,POETA RUBEN DARIO,6.180232558139535,2002
5376,"ESCUELA RURAL ""INES BAZAN""",6.18,2002
8829,VILLA MARIA ACADEMY,6.178733031674208,2002
5358,"ESCUELA RURAL ""HUICHA""",6.178571428571429,2002
949,COLEGIO BRITANICO ST. MARGARET'S S.A.,6.178175092478422,2002
3250,"ESCUELA ""PUERTO EDEN""",6.177777777777778,2002
4352,ESCUELA LLOLLINCO,6.177777777777778,2002
730,COL. DEL SAGRADO CORAZON DE J.,6.17707182320442,2002
4751,"ESCUELA PARTICULAR NÂº204 ""INMACULADA CON",6.175880758807589,2002
954,COLEGIO BUIN,6.175661375661376,2002
7587,MAMPAWEL,6.175,2002
2337,ESC. BAS. SOLOR,6.175,2002
1452,COLEGIO PARTICULAR LUCILA GODOY NÂº 31,6.174744027303754,2002
3734,ESCUELA BASICA PARTICULAR N/1822,6.173913043478261,2002
1445,COLEGIO PARTICULAR CLAUDIO GAY,6.173865698729583,2002
134,ANDRE ENGLISH SCHOOL,6.173527549081697,2002
2898,ESC. ROBERTO MUÃOZ VALDÃS,6.173333333333333,2002
1182,COLEGIO HISPANO ANEXO,6.17265306122449,2002
765,COL.FUND. EDUC. FERNANDEZ LEON,6.172625698324022,2002
6532,JUANITA FERNANDEZ SOLAR,6.171944121071013,2002
6390,INSTITUTO SAGRADO CARAZON,6.171875,2002
809,"COLEGIO ""ENGLISH COLLEGE""",6.171541501976285,2002
1940,DONGUIL,6.171428571428572,2002
5291,"ESCUELA RURAL ""EL TIGRE""",6.171428571428572,2002
5483,"ESCUELA RURAL ""LONCOPAN""",6.171428571428571,2002
5253,"ESCUELA RURAL ""EL AVELLANAL""",6.17,2002
4166,ESCUELA G N. 134,6.169736842105263,2002
8484,SANTA ANA,6.1695652173913045,2002
319,BUENA FE DE TUBUL,6.1692307692307695,2002
7184,LICEO PARTICULAR PEDRO POVEDA,6.1680851063829785,2002
4482,ESCUELA MUNICIPAL EL SALTO,6.167857142857143,2002
8687,TERESIANO PADRE ENRIQUE,6.167836257309942,2002
2638,ESC. JULIO CESAR CONCHA MIÃO,6.166666666666667,2002
8707,THE WESSEX SCHOOL,6.166340269277845,2002
3822,ESCUELA BASICA TRANQUILLA,6.165925925925926,2002
3537,ESCUELA BASICA G-21,6.165789473684211,2002
1104,COLEGIO EL BOSQUE PROVINCIA CORDILLERA,6.165051020408163,2002
4007,ESCUELA DIEGO PORTALES,6.164912280701754,2002
7933,PEQUENOS AMIGOS,6.164908256880734,2002
1559,COLEGIO SAINT ANGELO,6.163636363636364,2002
5709,"ESCUELA RURAL ""RAÃINTULELFU""",6.163636363636363,2002
5152,"ESCUELA RURAL ""CHEUQUEMO""",6.163636363636363,2002
813,"COLEGIO ""INMACULADA CONCEPCION""",6.163445867287543,2002
3123,ESCUELA  MOLINOS LLUTA,6.1625,2002
7949,PIDENCO ALTO,6.161111111111111,2002
8576,SANTA TERESITA DE CODINHUE,6.160869565217391,2002
1208,COLEGIO INGLÃS,6.160190476190476,2002
3902,ESCUELA CHACAYES,6.158823529411765,2002
2538,ESC. ESTER CASTRO ENCINA,6.158823529411765,2002
5294,"ESCUELA RURAL ""EL VARAL""",6.158333333333334,2002
8074,PURGATORIO,6.158333333333334,2002
1089,COLEGIO ECOLOGICO MONTESSORI,6.158003766478343,2002
3744,ESCUELA BASICA PARTICULAR SAVIA NOVA,6.157894736842105,2002
404,CARAMPANGUE,6.157748049052397,2002
7466,LOS CAPULLITOS,6.157627118644068,2002
8840,VILLA UNIVERSIDAD GABRIELA MISTRAL,6.157522123893805,2002
1571,COLEGIO SAMCA ARUMANTI  ADICIONAL,6.157142857142857,2002
1437,COLEGIO PARTICULAR ALMENAR,6.156896551724138,2002
43,AGUA CORTA,6.155555555555555,2002
907,COLEGIO ANTILEN,6.154887218045113,2002
1865,CUARTA FAJA,6.154545454545455,2002
3851,ESCUELA CACIQUE HUEICHAQUEO,6.153846153846154,2002
1651,COLEGIO SANTA MARIA DE BELEN,6.15370705244123,2002
6075,FRANCISCO DE CROZE,6.1521936459909226,2002
7705,METODISTA,6.1506065857885615,2002
3464,ESCUELA BASICA DOMINGO FAUSTINO SARMIEN,6.15,2002
3131,ESCUELA  PENEHUE,6.15,2002
3406,ESCUELA BASICA BATUCO,6.1493975903614455,2002
7729,MINAS DEL LEUQUE,6.1490909090909085,2002
1272,COLEGIO LA PAZ,6.148790007806402,2002
1596,COLEGIO SAN FRANCISCO DE PAINE,6.1481171548117155,2002
6213,HUALLERUPE,6.147826086956522,2002
980,COLEGIO CASTELGANDOLFO,6.147486033519553,2002
1708,COLEGIO VERA Y GIANNINI DE SAN ANTONIO,6.147307692307692,2002
7652,MARIA TERESA MARCHANT CONTRERAS,6.146942800788954,2002
1672,COLEGIO SERENA,6.146712802768167,2002
2506,ESC. EL EMBOQUE,6.1461538461538465,2002
2346,ESC. BAS.JUANITA FERNANDEZ S.,6.145454545454545,2002
4807,"ESCUELA PARTICULAR NÂº300 ""YUSTE""",6.1450000000000005,2002
6817,LICEO ACADEMIA IQUIQUE.,6.144855662472243,2002
